applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status
Sai Mehta,40,Male,Married,0,Graduate,Salaried,7.7,161567.28,1042425.73,45029.73,748747.25,27.87,572,0,0,588657.65,36,Education,3597.61,Urban,N
Dhruv Mehta,57,Female,Single,1,Graduate,Salaried,13.2,77382.03,138178.39,34882.93,913515.0,45.08,639,0,0,901779.17,120,Medical,2948.45,Rural,N
Kavita Agarwal,53,Female,Married,3+,Not Graduate,Salaried,15.3,81883.79,122920.8,20685.27,708651.89,25.26,748,0,1,3132758.35,120,Business,5388062.91,Urban,N
Saanvi Sharma,46,Female,Married,0,Graduate,Self-Employed,13.6,278388.39,1137592.69,6567.95,78288.92,2.36,823,1,0,4761313.13,120,Other,4411.57,Urban,Y
Ira Agarwal,29,Male,Married,1,Graduate,Salaried,2.6,52261.5,319139.23,20020.14,698765.83,38.31,384,1,2,891060.97,120,Personal,872660.83,Urban,N
Neha Patel,46,Male,Married,2,Graduate,Business Owner,6.5,113759.8,857038.11,30300.09,1458808.8,26.64,575,1,0,4940540.74,360,Business,7207438.81,Urban,Y
Kabir Patel,61,Female,Single,0,Graduate,Salaried,12.5,42937.97,301368.61,14435.88,728077.61,33.62,757,1,1,692280.46,60,Education,1187894.63,Urban,Y
Aarav Khanna,65,Female,Single,0,Graduate,Unemployed,0.0,10000.0,8277.66,5428.85,279069.16,54.29,502,1,0,73600.71,360,Education,3200.67,Semiurban,N
Priya Desai,41,Male,Married,0,Not Graduate,Salaried,19.9,112352.59,502690.48,4453.31,75151.05,3.96,707,1,0,10000000.0,24,Home,15000000.0,Rural,Y
Yash Mishra,32,Male,Married,0,Graduate,Self-Employed,12.6,116341.18,395599.65,10021.78,266579.46,8.61,626,0,1,2316309.06,300,Vehicle,2627074.17,Rural,Y
Rajesh Pandey,54,Female,Married,0,Graduate,Self-Employed,18.3,86934.8,617712.13,23470.63,516253.93,27.0,627,1,2,7058947.36,360,Home,3020.35,Urban,Y
Shreya Kumar,24,Female,Single,1,Not Graduate,Salaried,3.8,91438.23,533027.81,37465.02,733519.4,40.97,531,0,2,8778383.6,180,Home,2829.72,Semiurban,N
Saanvi Desai,27,Female,Single,0,Graduate,Salaried,7.5,65080.11,310179.39,9200.31,234211.36,14.14,711,0,1,3893595.73,240,Home,2344.81,Semiurban,N
Divya Kapoor,46,Female,Married,2,Graduate,Salaried,2.0,116908.41,766504.43,60379.58,2298796.02,51.65,722,1,0,1614680.59,60,Personal,2557866.99,Urban,N
Geeta Iyer,65,Male,Married,1,Not Graduate,Salaried,7.4,68849.76,384953.66,17705.45,964463.06,25.72,597,1,1,1259335.32,60,Vehicle,1629515.55,Semiurban,N
Ira Singh,35,Female,Single,1,Not Graduate,Salaried,2.9,40996.25,287767.22,25247.31,1209175.29,61.58,602,1,0,149376.29,120,Other,4636.42,Rural,N
Aadhya Mehta,40,Male,Single,0,Graduate,Unemployed,0.0,10000.0,37543.44,698.11,14649.45,6.98,704,0,0,157005.72,120,Vehicle,264877.09,Semiurban,Y
Pooja Agarwal,35,Male,Married,1,Graduate,Salaried,5.7,39616.02,67127.41,5741.89,329049.99,14.49,648,1,1,283443.07,60,Vehicle,276985.53,Rural,Y
Sanjay Tiwari,40,Male,Married,2,Graduate,Salaried,8.4,48435.54,314716.65,12766.92,295642.53,26.36,679,0,1,973820.89,180,Vehicle,298.67,Urban,N
Ira Tiwari,21,Female,Single,0,Graduate,Self-Employed,2.3,49116.57,324139.67,13361.18,710788.25,27.2,599,1,0,503912.67,180,Vehicle,455177.99,Urban,Y
Aryan Tiwari,47,Male,Single,0,Graduate,Retired,28.3,23104.02,51816.1,12391.57,170597.6,53.63,765,1,0,164138.3,240,Vehicle,233371.23,Urban,N
Sai Mishra,47,Male,Married,1,Not Graduate,Salaried,26.2,63309.08,504098.52,29615.95,1730175.85,46.78,668,0,0,1482118.82,300,Vehicle,2001741.81,Semiurban,Y
Tara Rao,35,Male,Married,1,Graduate,Retired,28.4,48447.4,178544.87,13554.87,550652.09,27.98,747,1,0,952030.19,180,Personal,1540850.49,Urban,Y
Karan Pandey,32,Male,Married,1,Graduate,Salaried,13.7,82011.6,655802.11,53151.4,1418682.87,64.81,499,1,0,201347.36,60,Medical,1520.86,Semiurban,N
Geeta Gupta,55,Male,Married,0,Graduate,Self-Employed,32.0,89268.66,557298.75,39947.96,1999577.18,44.75,585,0,0,696489.31,360,Vehicle,1191944.89,Rural,N
Lakshmi Shah,29,Male,Married,1,Graduate,Self-Employed,6.8,24140.83,107731.23,14920.41,432319.36,61.81,540,0,0,329828.85,120,Vehicle,4517.72,Semiurban,N
Lakshmi Reddy,23,Male,Single,0,Graduate,Self-Employed,1.5,39957.05,245807.35,4322.22,99112.34,10.82,560,0,3,327204.7,180,Vehicle,520176.47,Rural,N
Krishna Kapoor,22,Male,Married,1,Graduate,Self-Employed,2.3,29436.77,81441.48,7448.58,275703.17,25.3,629,0,0,695918.57,60,Vehicle,806721.81,Urban,Y
Vivaan Kumar,60,Female,Married,3+,Not Graduate,Salaried,12.7,64563.89,345061.9,23496.31,517884.12,36.39,602,0,1,4415064.14,60,Business,6667697.75,Rural,N
Pooja Pandey,37,Female,Single,1,Graduate,Retired,27.9,56190.02,184989.1,11181.89,562607.95,19.9,490,0,0,5566816.91,120,Home,5544700.29,Semiurban,N
Rekha Patel,25,Female,Married,0,Not Graduate,Salaried,6.3,146805.42,615685.98,9337.37,325412.32,6.36,696,1,0,807302.84,180,Vehicle,2202.73,Urban,Y
Vivaan Kumar,60,Male,Single,1,Graduate,Business Owner,14.9,162478.82,1076015.64,25682.67,992071.76,15.81,525,1,2,2842160.17,300,Vehicle,4736121.28,Rural,Y
Rahul Tiwari,27,Male,Single,0,Not Graduate,Unemployed,0.0,16939.39,19242.63,8593.01,335305.52,50.73,608,0,1,1247359.05,12,Home,4319.45,Semiurban,N
Ishaan Shah,36,Male,Married,3+,Graduate,Unemployed,0.0,10000.0,73181.89,2840.31,68750.53,28.4,511,1,0,323027.09,36,Business,372306.4,Semiurban,N
Kabir Joshi,21,Female,Single,1,Graduate,Salaried,1.0,73191.09,546138.02,21404.61,854209.29,29.24,578,1,0,894738.02,60,Vehicle,739827.86,Urban,Y
Pooja Kumar,51,Male,Married,2,Graduate,Salaried,28.1,107157.6,446121.93,19297.48,508116.22,18.01,560,0,2,879778.33,180,Personal,570.32,Urban,N
Krishna Iyer,52,Male,Married,1,Graduate,Salaried,30.0,69746.8,504148.67,12132.05,251691.0,17.39,632,1,0,853366.69,240,Education,1119.45,Rural,Y
Ayaan Mishra,55,Female,Single,0,Graduate,Salaried,28.9,86318.05,75841.09,21944.13,1247037.44,25.42,743,0,1,676923.13,60,Personal,795671.22,Semiurban,Y
Dhruv Reddy,32,Female,Married,1,Graduate,Salaried,11.8,86898.25,328430.15,25368.43,339007.87,29.19,755,0,0,729391.7,360,Personal,360.11,Urban,Y
Aryan Agarwal,35,Male,Married,0,Graduate,Salaried,9.9,75222.74,115575.8,15935.58,605406.66,21.18,656,1,1,442863.17,120,Education,4117.46,Urban,Y
Manish Verma,63,Female,Single,0,Graduate,Retired,30.0,33865.85,20943.84,5113.02,135888.48,15.1,547,0,4,1716778.71,300,Home,3806.53,Semiurban,N
Divya Verma,57,Male,Single,0,Graduate,Retired,26.0,24202.2,136862.62,5055.07,217127.85,20.89,685,0,1,546760.63,120,Vehicle,955496.05,Urban,N
Manish Patel,22,Male,Single,1,Graduate,Salaried,2.7,115199.36,811186.66,23062.23,1046879.01,20.02,624,1,0,3402701.59,120,Business,4811.71,Rural,Y
Saanvi Khanna,52,Male,Married,0,Not Graduate,Retired,20.8,14306.86,110478.04,7976.76,200985.0,55.75,827,1,0,1077163.53,120,Home,1824413.4,Semiurban,Y
Anika Tiwari,57,Female,Married,0,Graduate,Salaried,2.6,34098.5,123806.02,12902.19,132482.32,37.84,602,1,0,2080269.65,120,Business,3181908.48,Rural,Y
Anika Agarwal,46,Male,Single,1,Not Graduate,Business Owner,7.9,90226.13,113284.58,28239.37,1045504.95,31.3,518,0,3,951088.79,24,Education,1482477.43,Semiurban,N
Arjun Agarwal,49,Female,Single,0,Graduate,Salaried,25.9,73803.62,144051.67,22264.44,679685.4,30.17,701,0,0,743124.91,180,Education,4116.66,Urban,Y
Reyansh Mishra,21,Male,Single,1,Graduate,Salaried,2.6,58532.92,150328.04,21925.79,833557.8,37.46,735,1,0,351113.58,60,Personal,4890.67,Semiurban,Y
Yash Pandey,22,Female,Single,0,Graduate,Salaried,0.5,61337.39,227267.87,5238.62,236528.32,8.54,653,0,0,5657141.37,24,Home,3954.71,Urban,N
Vihaan Kapoor,22,Female,Single,1,Not Graduate,Salaried,0.9,60709.62,313396.27,27070.24,1013851.51,44.59,672,1,0,1059285.5,60,Education,379.57,Semiurban,Y
Anjali Joshi,28,Female,Married,0,Graduate,Business Owner,2.9,62172.72,349375.55,6002.18,197821.69,9.65,711,1,1,1514317.71,180,Other,1630747.52,Semiurban,N
Anjali Khanna,65,Female,Single,0,Not Graduate,Retired,33.5,43663.74,87337.74,8296.6,160747.94,19.0,626,0,2,615737.54,360,Medical,3867.36,Semiurban,N
Kabir Pandey,49,Female,Married,0,Graduate,Salaried,5.0,51274.17,311220.07,19701.01,812742.93,38.42,676,1,1,3784215.77,240,Home,6778884.51,Rural,Y
Shreya Reddy,56,Female,Married,0,Graduate,Salaried,9.4,44923.09,330121.56,4135.58,205390.66,9.21,553,0,0,898247.21,36,Education,1595.92,Urban,N
Aadhya Kumar,34,Male,Married,0,Graduate,Salaried,5.1,36146.7,119340.95,17758.25,378908.37,49.13,756,1,1,259021.18,180,Education,228516.92,Semiurban,Y
Anika Rao,63,Female,Married,1,Graduate,Salaried,31.4,54024.82,179040.98,12292.96,133944.39,22.75,742,0,3,639203.86,480,Personal,1811.04,Urban,N
Kabir Kapoor,29,Male,Married,1,Graduate,Salaried,3.8,117572.45,591175.29,1642.59,21636.71,1.4,767,0,0,1795621.78,120,Education,4985.94,Semiurban,Y
Manish Saxena,61,Male,Single,0,Not Graduate,Salaried,4.9,83424.83,54262.09,48457.26,2198468.78,58.08,539,1,4,4070900.8,24,Home,6371071.54,Urban,N
Vikram Kumar,22,Male,Single,0,Graduate,Retired,18.5,23004.75,40348.26,3275.25,115338.17,14.24,557,0,0,1390883.9,120,Business,1376247.72,Semiurban,N
Anika Desai,21,Male,Married,1,Graduate,Unemployed,0.0,10000.0,77150.56,4193.85,147717.72,41.94,504,0,3,235317.29,24,Vehicle,236008.26,Urban,N
Amit Agarwal,24,Female,Married,0,Graduate,Business Owner,5.1,157560.85,806903.19,61164.09,3000000.0,38.82,574,0,0,3743932.81,120,Business,6701009.88,Rural,N
Ishaan Tiwari,56,Male,Married,0,Graduate,Self-Employed,23.5,141940.74,608065.98,106188.54,2698878.04,74.81,537,0,0,10000000.0,36,Business,1565.01,Urban,N
Anjali Shah,32,Male,Married,2,Not Graduate,Retired,28.6,27933.31,167589.56,8192.98,477438.84,29.33,546,0,0,330557.78,60,Education,443107.36,Urban,N
Dhruv Kumar,41,Female,Married,0,Graduate,Salaried,8.9,126543.38,860457.66,57923.59,3000000.0,45.77,575,1,0,1770201.05,12,Education,2081903.9,Urban,Y
Rohan Singh,42,Female,Married,0,Not Graduate,Self-Employed,21.3,131851.53,543601.43,14473.55,649510.79,10.98,614,0,1,6403763.45,180,Business,9373760.5,Urban,N
Neha Mishra,56,Male,Married,0,Graduate,Salaried,7.3,57309.76,248309.5,6444.53,292440.03,11.25,725,1,1,957632.94,60,Personal,1650.97,Urban,Y
Myra Reddy,36,Female,Single,1,Not Graduate,Unemployed,0.0,10000.0,35375.38,3173.15,76761.86,31.73,472,1,0,130867.8,60,Personal,2855.56,Semiurban,N
Aryan Verma,21,Male,Married,0,Graduate,Salaried,3.0,120528.59,172018.0,27707.46,813209.67,22.99,574,0,1,1998029.51,120,Education,3139459.83,Rural,N
Ishaan Joshi,38,Male,Married,1,Graduate,Self-Employed,8.6,70508.98,279804.92,27604.98,1416292.21,39.15,585,1,0,1959733.95,120,Business,2880.59,Rural,Y
Divya Sharma,33,Female,Single,0,Not Graduate,Self-Employed,3.9,39917.41,95785.72,8196.23,99911.57,20.53,742,1,0,3155063.71,360,Home,3432.56,Semiurban,Y
Pari Kapoor,53,Female,Single,1,Graduate,Salaried,13.3,95155.09,432843.57,30155.68,1765091.92,31.69,718,1,0,1732121.32,240,Personal,1575135.01,Urban,Y
Ayaan Bansal,54,Female,Married,2,Not Graduate,Self-Employed,29.8,27316.39,190105.27,12377.79,602640.91,45.31,589,1,0,3153463.74,60,Home,4592911.22,Urban,N
Priya Singh,25,Male,Single,1,Graduate,Self-Employed,1.3,111341.41,780207.68,27768.43,768488.99,24.94,465,0,0,1568916.6,24,Personal,2507.59,Semiurban,N
Kavita Verma,56,Male,Married,1,Graduate,Salaried,27.2,65791.31,489195.6,24394.12,1426067.58,37.08,674,1,0,1142400.69,36,Vehicle,1072245.15,Semiurban,Y
Ananya Sharma,24,Male,Single,0,Graduate,Business Owner,4.0,96727.5,694063.0,25832.7,1486927.62,26.71,542,1,3,1928809.69,300,Education,504.43,Urban,Y
Kavita Sharma,48,Female,Married,3+,Graduate,Salaried,1.6,110333.86,648849.2,30918.04,1653236.76,28.02,800,1,0,5742781.3,360,Business,1646.41,Semiurban,Y
Kavita Kapoor,38,Male,Married,1,Graduate,Business Owner,14.6,53201.41,187801.37,26133.39,1069197.05,49.12,629,1,1,732294.32,360,Personal,748102.46,Urban,N
Suresh Malhotra,34,Male,Married,0,Graduate,Salaried,8.9,89594.4,468516.47,46377.09,951701.21,51.76,709,0,3,974868.24,12,Vehicle,1659710.66,Semiurban,N
Vikram Singh,42,Male,Married,1,Graduate,Salaried,0.9,75486.58,485673.93,13239.19,365689.96,17.54,643,1,0,1158536.47,24,Education,3146.94,Semiurban,Y
Anjali Kumar,34,Female,Married,1,Graduate,Salaried,4.6,95899.2,698933.63,16283.31,196725.31,16.98,491,1,3,196753.3,240,Medical,4827.29,Urban,N
Ishaan Mishra,56,Male,Single,0,Graduate,Salaried,11.0,82580.3,154344.49,24237.21,551126.92,29.35,743,1,0,1519120.5,24,Vehicle,1485862.89,Urban,Y
Kiara Bansal,64,Female,Married,1,Not Graduate,Salaried,11.7,34111.22,142980.23,8778.66,89424.7,25.74,540,0,1,462002.09,120,Personal,1649.55,Semiurban,N
Navya Nair,57,Male,Single,0,Not Graduate,Unemployed,0.0,11214.83,58622.55,4436.67,138914.91,39.56,600,1,2,87594.38,60,Personal,905.01,Semiurban,N
Rajesh Pandey,40,Male,Single,0,Graduate,Salaried,20.6,77726.49,552804.67,21080.27,218875.65,27.12,550,0,2,1580341.69,60,Vehicle,1726.23,Urban,N
Ishaan Malhotra,43,Male,Married,1,Not Graduate,Salaried,2.0,74530.94,192353.94,21667.21,797620.63,29.07,653,0,2,7259559.37,36,Home,11313889.88,Urban,N
Anjali Gupta,41,Male,Married,1,Graduate,Salaried,0.1,80100.37,590206.76,42152.02,749696.1,52.62,651,1,0,2398291.2,180,Other,394.57,Rural,Y
Yash Khanna,56,Female,Married,0,Graduate,Unemployed,0.0,13486.18,26668.09,5608.87,139773.81,41.59,688,0,0,163552.3,360,Business,3248.11,Rural,N
Manish Iyer,45,Female,Single,0,Graduate,Self-Employed,26.1,52609.48,240395.44,26585.63,488474.5,50.53,643,1,0,4389803.97,60,Home,7307983.44,Semiurban,Y
Rekha Sharma,42,Male,Single,1,Graduate,Salaried,7.7,111835.56,568907.47,41411.68,1962529.04,37.03,640,1,1,1237218.78,480,Other,4037.53,Urban,Y
Rohan Rao,39,Male,Married,0,Graduate,Retired,34.7,35765.38,166938.24,2170.9,102502.19,6.07,469,0,4,692498.13,240,Vehicle,1130250.67,Semiurban,N
Neha Patel,37,Male,Married,1,Not Graduate,Salaried,18.3,120928.26,116891.08,18561.08,317828.0,15.35,730,1,2,3212223.26,60,Business,4442171.58,Urban,Y
Sunita Rao,45,Female,Single,0,Graduate,Salaried,14.1,80680.38,270737.7,26760.95,284651.31,33.17,708,1,0,1545811.53,240,Vehicle,2564972.44,Semiurban,Y
Sanjay Rao,52,Female,Married,1,Graduate,Business Owner,16.0,76556.58,527848.32,27919.46,1630142.81,36.47,451,0,3,8562723.71,180,Home,3068.43,Semiurban,N
Kiara Patel,40,Female,Single,0,Not Graduate,Business Owner,12.0,103147.91,363627.35,59512.79,1202687.02,57.7,492,0,3,5124428.42,24,Home,5582327.3,Rural,N
Diya Desai,57,Male,Single,0,Not Graduate,Salaried,28.8,82778.37,652922.67,45613.35,2465384.54,55.1,534,0,0,7943505.62,60,Home,421.21,Semiurban,N
Ananya Singh,58,Male,Married,1,Graduate,Salaried,7.7,135724.73,935267.6,12810.59,732067.97,9.44,627,1,0,286887.14,36,Personal,1781.91,Urban,Y
Shreya Pandey,40,Female,Married,1,Graduate,Retired,25.4,56984.67,301682.33,24069.0,689477.51,42.24,684,0,1,626291.25,36,Personal,2623.68,Rural,N
Lakshmi Gupta,61,Male,Married,0,Not Graduate,Self-Employed,21.9,80142.48,226048.82,10666.45,434660.69,13.31,594,1,1,1113794.4,120,Education,151.42,Semiurban,Y
Riya Singh,28,Female,Married,3+,Graduate,Self-Employed,6.2,65559.55,249204.21,9790.92,199434.18,14.93,541,0,4,2909651.29,60,Home,2333.85,Semiurban,N
Vikram Kapoor,62,Female,Married,0,Not Graduate,Self-Employed,23.6,37165.2,273471.89,7937.74,470765.09,21.36,668,0,0,582798.1,240,Vehicle,871719.05,Urban,N
Geeta Pandey,34,Female,Married,0,Graduate,Salaried,1.8,85198.75,268008.37,2784.53,112654.14,3.27,713,0,0,327425.59,180,Education,4648.45,Semiurban,Y
Meera Shah,46,Female,Married,0,Graduate,Unemployed,0.0,10000.0,36173.96,2144.23,124814.91,21.44,655,1,0,767503.38,180,Home,1136656.31,Rural,Y
Karan Rao,33,Male,Married,0,Graduate,Self-Employed,5.9,45548.31,188567.73,10221.69,410451.12,22.44,630,1,0,243791.13,300,Vehicle,2301.48,Rural,Y
Tara Tiwari,40,Female,Married,0,Graduate,Business Owner,20.9,35900.22,256586.38,12994.16,305312.23,36.2,885,1,0,2639753.0,36,Home,3153954.36,Semiurban,Y
Priya Verma,36,Male,Married,2,Graduate,Salaried,12.5,135184.81,175060.21,29035.71,1280849.17,21.48,682,0,1,9794394.77,36,Home,14579525.26,Urban,Y
Kabir Joshi,52,Female,Married,0,Graduate,Retired,33.0,55723.11,349586.53,3062.85,121132.05,5.5,798,0,1,628943.11,12,Vehicle,1703.05,Semiurban,Y
Sanjay Bansal,24,Male,Single,1,Graduate,Salaried,0.6,90986.36,254949.82,13262.11,269361.21,14.58,629,1,0,6456375.5,240,Business,9019372.01,Urban,Y
Ishaan Mehta,58,Female,Married,2,Graduate,Business Owner,16.7,54285.75,358408.48,18600.67,636530.2,34.26,545,0,1,478902.64,240,Medical,610372.22,Semiurban,N
Kavita Joshi,61,Female,Married,1,Graduate,Salaried,4.0,41073.35,217368.03,19213.56,1033644.65,46.78,689,1,0,2822760.92,180,Home,3126740.66,Urban,Y
Yash Gupta,46,Male,Single,0,Not Graduate,Self-Employed,14.4,152934.41,965569.24,39150.1,2308829.79,25.6,606,0,0,3679427.89,24,Vehicle,5458571.61,Urban,N
Vikram Desai,45,Male,Married,1,Graduate,Salaried,10.3,82323.35,157117.26,45795.77,1340699.51,55.63,614,0,3,817450.5,240,Medical,3268.22,Semiurban,N
Divya Mehta,52,Male,Single,0,Not Graduate,Retired,24.9,30659.61,149196.44,9884.99,553234.52,32.24,510,1,0,267131.04,480,Personal,2431.49,Urban,Y
Anika Kumar,29,Female,Married,1,Graduate,Self-Employed,1.1,24855.84,124180.34,4913.34,58927.58,19.77,535,0,1,693649.0,180,Other,3323.26,Urban,N
Sunita Tiwari,54,Female,Married,3+,Graduate,Salaried,21.6,58762.35,312619.52,3653.22,128378.92,6.22,425,0,1,701024.23,60,Medical,1068.37,Semiurban,N
Yash Nair,30,Male,Married,0,Not Graduate,Business Owner,4.6,81947.45,434230.94,28893.29,1703634.53,35.26,675,1,1,320880.22,12,Personal,854.45,Urban,Y
Priya Khanna,51,Female,Single,0,Graduate,Unemployed,0.0,10000.0,23409.17,1667.47,90170.71,16.67,767,1,0,828225.39,240,Home,1348663.51,Semiurban,Y
Ayaan Mishra,34,Female,Married,1,Graduate,Salaried,3.2,100844.62,129337.66,27865.87,958248.42,27.63,580,0,2,1338799.84,120,Vehicle,1911275.26,Rural,N
Riya Nair,54,Female,Married,3+,Graduate,Unemployed,0.0,15777.78,16200.56,2314.11,82094.2,14.67,659,0,1,269638.54,300,Education,4760.63,Rural,N
Vihaan Verma,56,Female,Married,0,Graduate,Retired,21.5,43778.25,136514.17,16656.28,640254.43,38.05,833,0,0,2856499.37,12,Business,727.1,Urban,Y
Arjun Tiwari,30,Female,Single,0,Not Graduate,Self-Employed,2.8,21605.15,47104.64,3633.81,122000.62,16.82,782,0,0,2078638.22,36,Home,1910646.15,Urban,N
Myra Reddy,48,Female,Single,0,Graduate,Self-Employed,6.3,43748.58,24377.39,3224.05,32672.64,7.37,678,0,1,2285397.2,24,Business,4006.09,Urban,Y
Rajesh Verma,43,Male,Married,0,Graduate,Salaried,5.8,72544.05,447926.62,23286.23,391640.17,32.1,577,0,2,353114.12,180,Personal,4868.89,Urban,N
Manish Rao,34,Female,Married,1,Not Graduate,Self-Employed,11.5,97348.06,72613.8,67678.61,3000000.0,69.52,466,0,0,9418109.05,24,Home,15000000.0,Rural,N
Rahul Khanna,47,Male,Married,0,Not Graduate,Salaried,15.4,25683.52,171736.3,4105.22,81333.71,15.98,545,1,0,379102.81,24,Business,596692.87,Urban,Y
Navya Joshi,65,Female,Married,1,Graduate,Business Owner,33.0,64014.59,35953.13,37381.66,891844.79,58.4,533,1,3,4531034.85,120,Business,774.27,Urban,N
Priya Chopra,21,Female,Single,1,Not Graduate,Salaried,0.1,87429.07,356025.68,13402.41,562424.1,15.33,626,1,1,4207363.82,60,Home,3457301.62,Semiurban,Y
Tara Bansal,64,Female,Single,1,Graduate,Self-Employed,13.6,52375.28,243926.16,16643.15,971861.34,31.78,641,1,0,5185680.85,120,Home,5534892.73,Rural,Y
Yash Agarwal,59,Male,Married,3+,Graduate,Unemployed,0.0,25534.62,22847.38,14130.49,404396.97,55.34,729,0,0,254803.24,120,Other,1594.58,Rural,N
Diya Mehta,44,Male,Married,0,Graduate,Self-Employed,1.1,92510.02,604996.54,16466.78,293649.73,17.8,622,1,0,820226.15,300,Personal,4030.41,Urban,Y
Kiara Mishra,48,Male,Married,3+,Not Graduate,Salaried,26.4,83981.26,430838.24,13105.08,604502.45,15.6,687,1,0,381986.33,120,Medical,2544.44,Urban,Y
Neha Verma,37,Female,Single,0,Graduate,Salaried,15.4,71148.16,551108.35,18213.19,954703.29,25.6,654,1,0,1178851.19,300,Education,1125883.19,Rural,Y
Deepak Verma,26,Female,Married,2,Graduate,Retired,19.8,21707.21,141526.4,9997.77,589951.61,46.06,438,0,2,85708.99,120,Personal,2820.1,Rural,N
Tara Tiwari,46,Male,Single,1,Not Graduate,Salaried,13.0,142714.3,574393.3,6122.28,310695.56,4.29,570,1,2,9099269.45,180,Business,15000000.0,Semiurban,Y
Neha Desai,57,Male,Married,0,Graduate,Retired,30.2,41881.91,185364.16,13428.23,151613.59,32.06,668,1,0,2026303.22,36,Home,2400984.6,Semiurban,Y
Sunita Reddy,31,Female,Married,2,Graduate,Unemployed,0.0,10000.0,43390.23,2296.44,129254.39,22.96,458,0,3,943752.51,36,Home,1496962.44,Urban,N
Kiara Sharma,53,Male,Married,0,Graduate,Salaried,18.9,72627.65,134514.51,3455.93,114882.51,4.76,475,1,0,738274.56,12,Other,333.1,Semiurban,Y
Divya Bansal,54,Male,Married,1,Graduate,Salaried,17.8,59877.27,370068.31,14349.38,372898.49,23.96,652,0,1,1081222.7,180,Education,3840.74,Urban,N
Saanvi Iyer,55,Male,Married,1,Graduate,Salaried,27.2,90976.6,47451.03,15644.71,827767.81,17.2,586,0,3,7023808.11,60,Home,6942732.92,Urban,N
Aryan Singh,36,Female,Married,0,Not Graduate,Self-Employed,7.0,85775.04,353184.64,13584.25,186220.86,15.84,706,1,0,7783777.21,36,Home,6344793.96,Urban,Y
Suresh Khanna,38,Female,Married,0,Not Graduate,Salaried,15.4,40441.17,315461.62,7079.38,276092.02,17.51,769,1,0,2010839.16,36,Business,2287.28,Rural,Y
Anjali Patel,39,Female,Single,1,Graduate,Salaried,4.6,56409.87,325924.2,16167.84,715576.21,28.66,611,1,0,769980.14,300,Vehicle,629213.47,Urban,Y
Riya Kapoor,59,Male,Single,0,Graduate,Business Owner,20.3,47025.82,269835.65,7066.48,226980.01,15.03,559,1,1,433514.62,300,Education,1517.32,Rural,Y
Krishna Patel,61,Male,Married,0,Not Graduate,Business Owner,5.0,294373.1,1415375.15,57082.39,1026145.22,19.39,592,1,0,10000000.0,240,Home,11587266.4,Semiurban,Y
Kavita Patel,39,Female,Single,0,Not Graduate,Business Owner,10.2,117292.21,168075.06,34855.69,473899.74,29.72,587,0,0,1846590.57,24,Other,4551.74,Urban,N
Saanvi Patel,64,Female,Married,2,Graduate,Self-Employed,31.4,38151.29,143449.09,11708.68,421576.75,30.69,678,0,1,714574.85,120,Personal,617804.42,Urban,N
Geeta Agarwal,46,Male,Married,0,Not Graduate,Self-Employed,8.7,30298.1,16376.34,7339.83,318883.69,24.23,508,1,0,575972.64,120,Personal,1018.8,Urban,N
Vivaan Tiwari,38,Female,Married,2,Graduate,Business Owner,9.7,70168.66,383302.61,33465.83,1963651.49,47.69,812,0,1,564642.54,12,Education,547769.68,Urban,Y
Karan Chopra,21,Female,Married,1,Graduate,Salaried,1.1,87522.27,388220.78,23518.0,824660.75,26.87,467,1,4,674609.5,240,Medical,1065579.62,Urban,N
Karan Reddy,48,Female,Married,1,Graduate,Salaried,29.0,43509.63,207883.16,7938.61,445617.15,18.25,578,0,3,2405131.13,120,Home,4559.78,Semiurban,N
Aditya Chopra,50,Male,Married,3+,Not Graduate,Salaried,10.3,87122.07,128641.06,8726.38,386775.02,10.02,648,1,0,1379043.16,480,Vehicle,505.06,Urban,Y
Aarav Verma,64,Male,Single,1,Graduate,Salaried,10.8,33813.97,75250.86,5079.44,65394.15,15.02,470,0,0,639665.94,24,Education,1302.06,Semiurban,N
Kiara Saxena,53,Male,Married,0,Not Graduate,Salaried,23.1,131572.66,729283.27,52987.73,1558612.7,40.27,675,0,0,2434995.35,300,Vehicle,3908649.92,Urban,Y
Sai Shah,22,Female,Single,1,Not Graduate,Unemployed,0.0,10000.0,10159.86,5387.12,139784.53,53.87,519,0,4,183222.67,300,Vehicle,158575.5,Semiurban,N
Ira Mishra,46,Female,Married,0,Graduate,Self-Employed,1.9,40553.23,92781.9,23268.46,830820.01,57.38,751,0,1,562965.78,120,Personal,181.03,Rural,N
Kiara Tiwari,54,Male,Married,1,Graduate,Salaried,15.2,42793.75,69457.69,12352.35,253552.02,28.86,857,1,0,200402.06,480,Other,2130.84,Semiurban,Y
Karan Chopra,43,Male,Married,0,Graduate,Salaried,2.5,51360.41,180845.7,13587.59,410068.46,26.46,584,1,0,365892.02,36,Education,1373.13,Urban,Y
Saanvi Mehta,40,Male,Married,2,Graduate,Salaried,18.0,58059.23,237385.34,18996.36,539063.35,32.72,553,1,4,817316.52,36,Personal,1085192.39,Rural,Y
